X Gaze Data, Y Gaze Data, Time 
1609,955,0
1609,955,0
1609,955,0
1609,955,0
1608,955,0
1608,955,0
1602,951,0
1602,951,0
1603,951,0
1603,951,0
1604,953,0
1604,953,0
1604,953,0
1605,954,0
1605,954,0
1605,954,0
1606,952,0
1606,952,0
1606,952,0
1609,949,0
1609,949,0
1609,949,0
1642,904,0
1642,904,0
1642,904,0
1652,890,0
1652,890,0
1652,890,0
1657,878,0
1657,878,0
1657,878,0
1659,872,0
1659,872,0
1659,872,0
1660,870,0
1660,870,0
1660,870,0
1661,867,0
1661,867,0
1661,867,0
1663,862,0
1663,862,0
1663,862,0
1666,856,0
1666,856,0
1666,856,0
1670,841,0
1670,841,0
1670,841,0
1671,839,0
1671,839,0
1671,839,0
1668,840,0
1668,840,0
1668,840,0
1668,840,0
1668,840,0
1668,840,0
1670,842,0
1670,842,0
1670,842,0
1684,849,0
1684,849,0
1684,849,0
1749,884,0
1749,884,0
1749,884,0
1754,887,0
1754,887,0
1754,887,0
1759,893,0
1759,893,0
1759,893,0
1760,896,0
1760,896,0
1760,896,0
1762,898,0
1762,898,0
1762,898,0
1767,901,0
1767,901,0
1767,901,0
1771,902,0
1771,902,0
1771,902,0
1768,902,0
1768,902,0
1768,902,0
1763,902,0
1763,902,0
1763,902,0
1763,901,0
1763,901,0
1763,901,0
1764,901,0
1764,901,0
1764,901,0
1764,901,0
1764,901,0
1764,901,0
1765,900,0
1765,900,0
1765,900,0
1764,899,0
1764,899,0
1764,899,0
1764,899,0
1764,899,0
1764,899,0
1764,899,0
1764,899,0
1764,899,0
1764,899,0
1764,899,0
1764,899,0
1763,899,0
1763,899,0
1763,899,0
1761,898,0
1761,898,0
1761,898,0
1758,898,0
1758,898,0
1758,898,0
1758,899,0
1758,899,0
1758,899,0
1759,900,0
1759,900,0
1759,900,0
1757,903,0
1757,903,0
1757,903,0
1749,914,0
1749,914,0
1749,914,0
1744,919,0
1744,919,0
1744,919,0
1738,923,0
1738,923,0
1738,923,0
1734,925,0
1734,925,0
1734,925,0
1732,924,0
1732,924,0
1732,924,0
1735,923,0
1735,923,0
1735,923,0
1734,923,0
1734,923,0
1734,923,0
1733,925,0
1733,925,0
1733,925,0
1732,926,0
1732,926,0
1732,926,0
1732,927,0
1732,927,0
1732,927,0
1730,927,0
1730,927,0
1730,927,0
1731,927,0
1731,927,0
1731,927,0
1732,927,0
1732,927,0
1732,927,0
1731,929,0
1731,929,0
1731,929,0
1731,928,0
1731,928,0
1731,928,0
1731,929,0
1731,929,0
1731,929,0
1730,930,0
1730,930,0
1730,930,0
1730,931,0
1730,931,0
1730,931,0
1730,931,0
1730,931,0
1730,931,0
1733,931,0
1733,931,0
1733,931,0
1733,931,0
1733,931,0
1733,931,0
1733,931,0
1733,931,0
1733,931,0
1732,931,0
1732,931,0
1732,931,0
1731,931,0
1731,931,0
1731,931,0
1731,933,0
1731,933,0
1731,933,0
1731,933,0
1731,933,0
1731,933,0
1731,931,0
1731,931,0
1731,931,0
1728,927,0
1728,927,0
1728,927,0
1728,926,0
1728,926,0
1728,926,0
1727,926,0
1727,926,0
1727,926,0
1726,925,0
1726,925,0
1726,925,0
1726,924,0
1726,924,0
1726,924,0
1727,924,0
1727,924,0
1727,924,0
1727,924,0
1727,924,0
1727,924,0
1731,922,0
1731,922,0
1731,922,0
1731,921,0
1731,921,0
1731,921,0
1733,921,0
1733,921,0
1733,921,0
1730,923,0
1730,923,0
1730,923,0
1712,923,0
1712,923,0
1712,923,0
1703,924,0
1703,924,0
1703,924,0
1669,903,0
1669,903,0
1669,903,0
1077,594,0
1077,594,0
1077,594,0
818,458,0
818,458,0
818,458,0
585,335,0
585,335,0
585,335,0
515,299,0
515,299,0
515,299,0
432,258,0
432,258,0
432,258,0
414,249,0
414,249,0
414,249,0
389,238,0
389,238,0
389,238,0
192,141,0
192,141,0
192,141,0
111,103,0
111,103,0
111,103,0
110,102,0
110,102,0
110,102,0
74,84,0
74,84,0
74,84,0
66,80,0
66,80,0
66,80,0
66,79,0
66,79,0
66,79,0
66,83,0
66,83,0
66,83,0
66,83,0
66,83,0
66,83,0
67,83,0
67,83,0
67,83,0
67,83,0
67,83,0
67,83,0
68,83,0
68,83,0
68,83,0
68,83,0
68,83,0
68,83,0
68,82,0
68,82,0
68,82,0
68,82,0
68,82,0
68,82,0
70,81,0
70,81,0
70,81,0
72,79,0
72,79,0
72,79,0
72,79,0
72,79,0
72,79,0
84,80,0
84,80,0
84,80,0
125,81,0
125,81,0
125,81,0
147,83,0
147,83,0
147,83,0
159,83,0
159,83,0
159,83,0
175,85,0
175,85,0
175,85,0
180,85,0
180,85,0
180,85,0
187,85,0
187,85,0
187,85,0
188,84,0
188,84,0
188,84,0
187,85,0
187,85,0
187,85,0
190,85,0
190,85,0
190,85,0
191,86,0
191,86,0
191,86,0
193,86,0
193,86,0
193,86,0
193,86,0
193,86,0
193,86,0
194,87,0
194,87,0
194,87,0
194,88,0
194,88,0
194,88,0
195,91,0
195,91,0
195,91,0
195,92,0
195,92,0
195,92,0
196,91,0
196,91,0
196,91,0
196,91,0
196,91,0
196,91,0
196,92,0
196,92,0
196,92,0
196,94,0
196,94,0
196,94,0
196,94,0
196,94,0
196,94,0
197,95,0
197,95,0
197,95,0
198,95,0
198,95,0
198,95,0
199,95,0
199,95,0
199,95,0
199,95,0
199,95,0
199,95,0
199,95,0
199,95,0
199,95,0
200,95,0
200,95,0
200,95,0
200,95,0
200,95,0
200,95,0
200,95,0
200,95,0
200,95,0
199,95,0
199,95,0
199,95,0
196,99,0
196,99,0
196,99,0
195,100,0
195,100,0
195,100,0
195,100,0
195,100,0
195,100,0
196,99,0
196,99,0
196,99,0
199,97,0
199,97,0
199,97,0
202,95,0
202,95,0
202,95,0
204,94,0
204,94,0
204,94,0
205,93,0
205,93,0
205,93,0
205,93,0
205,93,0
205,93,0
208,90,0
208,90,0
208,90,0
209,89,0
209,89,0
209,89,0
208,90,0
208,90,0
208,90,0
209,88,0
209,88,0
209,88,0
209,87,0
209,87,0
209,87,0
208,85,0
208,85,0
208,85,0
208,84,0
208,84,0
208,84,0
208,83,0
208,83,0
208,83,0
208,82,0
208,82,0
208,82,0
208,82,0
208,82,0
208,82,0
208,81,0
208,81,0
208,81,0
208,81,0
208,81,0
208,81,0
208,81,0
208,81,0
208,81,0
209,81,0
209,81,0
209,81,0
210,82,0
210,82,0
210,82,0
211,83,0
211,83,0
211,83,0
210,84,0
210,84,0
210,84,0
211,84,0
211,84,0
211,84,0
211,84,0
211,84,0
211,84,0
211,84,0
211,84,0
211,84,0
212,83,0
212,83,0
212,83,0
212,83,0
212,83,0
212,83,0
212,83,0
212,83,0
212,83,0
212,82,0
212,82,0
212,82,0
212,81,0
212,81,0
212,81,0
212,80,0
212,80,0
212,80,0
212,80,0
212,80,0
212,80,0
211,78,0
211,78,0
211,78,0
209,76,0
209,76,0
209,76,0
209,75,0
209,75,0
209,75,0
208,75,0
208,75,0
208,75,0
209,75,0
209,75,0
209,75,0
206,77,0
206,77,0
206,77,0
207,78,0
207,78,0
207,78,0
208,77,0
208,77,0
208,77,0
208,77,0
208,77,0
208,77,0
